IndicatorCode,SpatialDim,ParentLocation,TimeDim,NumericValue,Low,High,Dim1
WHOSIS_000001,BHR,Eastern Mediterranean,2006,72.97806,72.80485,73.20907,SEX_FMLE
WHOSIS_000001,COG,Africa,2018,63.05964,62.3423,64.02235,SEX_BTSX
WHOSIS_000001,ETH,Africa,2018,70.1832,69.5669,70.88061,SEX_FMLE
WHOSIS_000001,SVN,Europe,2001,80.08261,79.99221,80.25196,SEX_FMLE
WHOSIS_000001,ALB,Europe,2004,75.42558,75.16495,75.83791,SEX_BTSX
WHOSIS_000001,OMN,Eastern Mediterranean,2019,75.28986,74.85393,75.75296,SEX_BTSX
WHOSIS_000001,NOR,Europe,2005,82.29091,82.26126,82.37787,SEX_FMLE
WHOSIS_000001,GHA,Africa,2006,60.3462,59.76283,61.0075,SEX_BTSX
WHOSIS_000001,BTN,South-East Asia,2017,72.5155,71.81262,73.22901,SEX_MLE
WHOSIS_000001,FJI,Western Pacific,2002,66.70441,66.43543,67.01364,SEX_BTSX
WHOSIS_000001,MLI,Africa,2000,53.2553,52.27081,54.24618,SEX_MLE
WHOSIS_000001,THA,South-East Asia,2000,67.34236,66.74057,67.91812,SEX_MLE
WHOSIS_000001,HND,Americas,2015,69.52898,68.81989,70.32848,SEX_BTSX
WHOSIS_000001,BRB,Americas,2002,76.7274,76.56171,76.97715,SEX_FMLE
WHOSIS_000001,ITA,Europe,2001,76.70236,76.644,76.76072,SEX_MLE
WHOSIS_000001,LKA,South-East Asia,2016,76.76659,76.25301,77.25717,SEX_BTSX
WHOSIS_000001,MYS,Western Pacific,2018,74.52806,74.49369,74.62828,SEX_BTSX
WHOSIS_000001,TTO,Americas,2009,76.01267,75.65927,76.39102,SEX_FMLE
WHOSIS_000001,NER,Africa,2016,59.83593,58.62314,61.31468,SEX_BTSX
WHOSIS_000001,KEN,Africa,2000,52.94197,51.96014,54.07789,SEX_MLE
WHOSIS_000001,EMR,,2012,66.89191,66.16759,67.63431,SEX_MLE
WHOSIS_000001,BHR,Eastern Mediterranean,2000,69.68564,69.5412,69.95145,SEX_BTSX
WHOSIS_000001,MEX,Americas,2003,72.23952,72.07597,72.43549,SEX_MLE
WHOSIS_000001,BGR,Europe,2007,76.52234,76.44652,76.66819,SEX_FMLE
WHOSIS_000001,PRK,South-East Asia,2012,70.53324,69.90208,71.29251,SEX_BTSX
WHOSIS_000001,TZA,Africa,2018,66.39626,65.63472,67.33174,SEX_BTSX
WHOSIS_000001,FSM,Western Pacific,2021,65.70957,64.83728,66.59168,SEX_BTSX
WHOSIS_000001,IRL,Europe,2021,81.60163,81.56007,81.70136,SEX_BTSX
WHOSIS_000001,BIH,Europe,2011,77.05795,76.99238,77.2001,SEX_BTSX
WHOSIS_000001,BWA,Africa,2002,45.60854,44.01442,47.07295,SEX_MLE
WHOSIS_000001,KOR,Western Pacific,2015,85.38127,85.32028,85.44226,SEX_FMLE
WHOSIS_000001,BLZ,Americas,2002,74.4852,74.34792,74.71769,SEX_FMLE
