id,symbol,name,current_price,market_cap,total_volume,last_updated
bitcoin,btc,Bitcoin,103286.0,2049698678900,36909938701,2025-05-13T15:09:56.483Z
ethereum,eth,Ethereum,2543.91,307150728210,26440688482,2025-05-13T15:09:55.394Z
tether,usdt,Tether,1.0,150068412669,83250723409,2025-05-13T15:09:49.442Z
ripple,xrp,XRP,2.52,147472412812,7853997388,2025-05-13T15:09:55.066Z
binancecoin,bnb,BNB,652.57,95165293800,1495531772,2025-05-13T15:09:55.395Z
solana,sol,Solana,173.32,89997303398,5700595416,2025-05-13T15:09:55.416Z
usd-coin,usdc,USDC,1.0,60767967263,13146486311,2025-05-13T15:09:55.009Z
dogecoin,doge,Dogecoin,0.226299,33740264772,3127234987,2025-05-13T15:09:55.524Z
cardano,ada,Cardano,0.796516,28710998201,1413746182,2025-05-13T15:09:56.716Z
tron,trx,TRON,0.267257,25346395796,1594783780,2025-05-13T15:09:55.563Z
