id,symbol,name,current_price,market_cap,total_volume,last_updated
bitcoin,btc,Bitcoin,103303.0,2053115378353.0,32693666550.0,2025-05-14T17:13:10.930Z
ethereum,eth,Ethereum,2585.37,312264354747.0,36217534996.0,2025-05-14T17:13:11.420Z
tether,usdt,Tether,1.0,150357897236.0,82381552405.0,2025-05-14T17:13:09.422Z
ripple,xrp,XRP,2.55,149213023820.0,5500584062.0,2025-05-14T17:13:09.504Z
binancecoin,bnb,BNB,651.49,94984994445.0,1438151519.0,2025-05-14T17:13:10.124Z
solana,sol,Solana,175.67,91339909405.0,6982296304.0,2025-05-14T17:13:12.005Z
usd-coin,usdc,USDC,0.999908,60669289245.0,8575272697.0,2025-05-14T17:13:09.084Z
dogecoin,doge,Dogecoin,0.231563,34578182152.0,2773985232.0,2025-05-14T17:13:10.279Z
cardano,ada,Cardano,0.800859,28903316315.0,1302544771.0,2025-05-14T17:13:11.105Z
tron,trx,TRON,0.275963,26190555035.0,1210789126.0,2025-05-14T17:13:12.734Z
