id,symbol,name,current_price,market_cap,total_volume,last_updated
bitcoin,btc,Bitcoin,103916.0,2064739968352.0,32431318892.0,2025-05-14T14:04:00.773Z
ethereum,eth,Ethereum,2599.55,314096080664.0,37825064102.0,2025-05-14T14:04:08.436Z
ripple,xrp,XRP,2.58,151008607244.0,5562293292.0,2025-05-14T14:04:01.786Z
tether,usdt,Tether,1.0,150354474622.0,82176443637.0,2025-05-14T14:04:02.413Z
binancecoin,bnb,BNB,655.13,95575516322.0,1523040095.0,2025-05-14T14:03:58.931Z
solana,sol,Solana,178.7,92831380583.0,7051221657.0,2025-05-14T14:04:00.390Z
usd-coin,usdc,USDC,0.999946,60669374666.0,13201465300.0,2025-05-14T14:03:56.917Z
dogecoin,doge,Dogecoin,0.23502,35065019473.0,2982772746.0,2025-05-14T14:03:59.866Z
cardano,ada,Cardano,0.815469,29403163269.0,1374564715.0,2025-05-14T14:04:00.013Z
tron,trx,TRON,0.275619,26156461670.0,1150532496.0,2025-05-14T14:04:00.656Z
