id,symbol,name,current_price,market_cap,total_volume,last_updated
bitcoin,btc,Bitcoin,104072.0,2065051582851,34572148271,2025-05-13T16:20:25.436Z
ethereum,eth,Ethereum,2573.49,310322107744,27191326611,2025-05-13T16:20:25.513Z
tether,usdt,Tether,1.0,150082158225,80052454672,2025-05-13T16:20:28.649Z
ripple,xrp,XRP,2.55,149353963634,7390945236,2025-05-13T16:20:25.217Z
binancecoin,bnb,BNB,658.8,95946966350,1285861389,2025-05-13T16:20:22.418Z
solana,sol,Solana,176.67,91742987882,5530766921,2025-05-13T16:20:22.729Z
usd-coin,usdc,USDC,0.999985,60766922508,7754367021,2025-05-13T16:20:22.973Z
dogecoin,doge,Dogecoin,0.235645,35030827106,3134555006,2025-05-13T16:20:25.276Z
cardano,ada,Cardano,0.810767,29183995646,1326595228,2025-05-13T16:20:25.111Z
tron,trx,TRON,0.268826,25481983920,1528692139,2025-05-13T16:20:24.960Z
