Name,IndicatorCode,IndicatorName,Language
STI_SYPHILIS_PREVALENTCASES,STI_SYPHILIS_PREVALENTCASES,Prevalent cases of active syphilis (in thousands),EN
STI_SYPHILIS_PREVALENCE_PER100,STI_SYPHILIS_PREVALENCE_PER100,Prevalence of active syphilis in 15-49 year olds (%),EN
STI_SYPHILIS_INCIDENTCASES,STI_SYPHILIS_INCIDENTCASES,Incident cases of active syphilis in 15-49 year olds (in thousands),EN
STI_SYPHILIS_INCIDENCE_PER1000,STI_SYPHILIS_INCIDENCE_PER1000,Incident rate of active syphilis (per 1000),EN
STI_SYPHILIS_CASES_NUM,STI_SYPHILIS_CASES_NUM,Reported cases of syphilis (number),EN
STI_GONORRHOEA_PREVALENTCASES,STI_GONORRHOEA_PREVALENTCASES,Prevalent cases of gonorrhoea in individuals (in thousands),EN
STI_GONORRHOEA_PREVALENCE_PER100,STI_GONORRHOEA_PREVALENCE_PER100,Prevalence of gonorrhoea in individuals (%),EN
STI_GONORRHOEA_INCIDENTCASES,STI_GONORRHOEA_INCIDENTCASES,Incident cases of gonorrhoea in individuals (in thousands),EN
STI_GONORRHOEA_INCIDENCE_PER1000,STI_GONORRHOEA_INCIDENCE_PER1000,Incident cases of gonorrhoea in individuals (per 1000),EN
STI_GONORRHEA_CASES_NUM,STI_GONORRHEA_CASES_NUM,Reported cases of gonorrhea (number),EN
STI_CHLAMYDIA_PREVALENTCASES,STI_CHLAMYDIA_PREVALENTCASES,Prevalent cases of chlamydia in individuals (in thousands),EN
STI_CHLAMYDIA_PREVALENCE_PER100,STI_CHLAMYDIA_PREVALENCE_PER100,Prevalence of chlamydia in individuals (%),EN
STI_CHLAMYDIA_INCIDENTCASES,STI_CHLAMYDIA_INCIDENTCASES,Incident cases of chlamydia in individuals (in thousands),EN
STI_CHLAMYDIA_INCIDENCE_PER1000,STI_CHLAMYDIA_INCIDENCE_PER1000,Incident cases of chlamydia in individuals (per 1000),EN
STI_CHLAMYDIA_CASES_NUM,STI_CHLAMYDIA_CASES_NUM,Reported cases of chlamydia (number),EN
SRHINSTITUTIONALBIRTH,SRHINSTITUTIONALBIRTH,Proportion of births delivered in a health facility (Facility births) (%),EN
SRH_PREGNANCY_UNINTENDED_RATE,SRH_PREGNANCY_UNINTENDED_RATE,Unintended pregnancy rate (model-estimated),EN
SRH_ABORTION_RATE,SRH_ABORTION_RATE,Abortion rate (model-estimated),EN
SP_DYN_MRBF18,SP_DYN_MRBF18,Proportion of women aged 20-24 years who were married or in a union by age 18 (%),EN
SP_DYN_MRBF15,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union by age 15 (%),EN
SI_POV_EMP1,SI_POV_EMP1,Employed population below the international poverty line of US$1.90 per day (the working poor) (%),EN
SI_POV_DAY1,SI_POV_DAY1,Proportion of population below the international poverty line of US$1.90 per day (%),EN
SHS_9,SHS_9,Second-hand smoke  attributable deaths per 100'000 children under 5 years,EN
SHS_8,SHS_8,Second-hand smoke attributable deaths ('000) in children under 5 years,EN
SHS_7,SHS_7,Second-hand smoke attributable DALYs per 100'000 capita,EN
SHS_6,SHS_6,Second-hand smoke attributable deaths per 100'000 capita,EN
SHS_5,SHS_5,Second-hand smoke attributable DALYs ('000),EN
SHS_4,SHS_4,Second-hand smoke attributable deaths,EN
SHS_3,SHS_3,Percentage of men (15+ years) exposed to second-hand smoke,EN
SHS_2,SHS_2,Percentage of women (15+ years) exposed to second-hand smoke,EN
SHS_11,SHS_11,Second-hand smoke  attributable DALYs per 100'000 children under 5 years,EN
SHS_10,SHS_10,Second-hand smoke attributable DALYs ('000) in children under 5 years,EN
SHS_1,SHS_1,Percentage of children under 15 years exposed to second-hand smoke,EN
SH_STA_FGMS,SH_STA_FGMS,Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting (FMG/C) (%),EN
SG_REG_CENSUSN,SG_REG_CENSUSN,Number of countries that have conducted at least one population and housing census in the last 10 years,EN
SG_REG_CENSUS,SG_REG_CENSUS,Proportion of countries that have conducted at least one population and housing census in the last 10 years (%),EN
SG_REG_BRTH,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority,EN
SG_DMK_SRCR_FN_ZS,SG_DMK_SRCR_FN_ZS,"Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (%)",EN
sevwast5,sevwast5,see NUTSEVWASTINGPREV,EN
SE_PRM_RDNG,SE_PRM_RDNG,Proportion of children at the end of primary achieving at least a minimum proficiency level in reading (%),EN
SE_PRM_PRSL_ZS,SE_PRM_PRSL_ZS,Persistence to last grade of primary (% of cohort),EN
SE_PRM_MATH,SE_PRM_MATH,Proportion of children at the end of primary achieving at least a minimum proficiency level in mathematics (%),EN
SE_PRE_PARTN,SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age) (%),EN
SE_LSC_RDNG,SE_LSC_RDNG,Proportion of children at the end of lower secondary achieving at least a minimum proficiency level in reading (%),EN
SE_LSC_MATH,SE_LSC_MATH,Proportion of children at the end of lower secondary achieving at least a minimum proficiency level in mathematics (%),EN
SE_G23_RDG,SE_G23_RDG,Proportion of children in grades 2/3 achieving at least a minimum proficiency level in reading (%),EN
SE_G23_MATH,SE_G23_MATH,Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics (%),EN
SE_DEV_ONTRK,SE_DEV_ONTRK,"Children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development and learning (%)",EN
SDGWSHBOD,SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),EN
SDGTOBACCO,SDGTOBACCO,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,EN
SDGSUICIDE,SDGSUICIDE,Crude suicide rates (per 100 000 population),EN
SDGSHP,SDGSHP,Skilled health professionals density (per 10 000 population),EN
SDGROADAGE,SDGROADAGE,Age-standardized road traffic  mortality (per 100 000 population),EN
SDGPOISON,SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),EN
SDGPM25,SDGPM25,Concentrations of fine particulate matter (PM2.5),EN
SDGOOP,SDGOOP,Out-of-pocket expenditure as a percentage of total expenditure on health,EN
SDGODAWS,SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),EN
SDGODA02,SDGODA02,"Official development assistance for medical research and basic health sectors as a percentage of GNI (%), by donor country",EN
SDGODA01,SDGODA01,"Total net official development assistance to medical research and basic health sectors per capita (US$), by recipient country",EN
SDGODA,SDGODA,"Total net official development assistance to medical research and basic health sectors per capita (constant 2014 US$), by recipient",EN
SDGNTDTREATMENT,SDGNTDTREATMENT,Reported number of people requiring interventions against NTDs,EN
SDGMALARIA,SDGMALARIA,Malaria incidence (per 1 000 population at risk),EN
SDGIPVLT,SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,EN
SDGIPV12M,SDGIPV12M,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months,EN
SDGIPV,SDGIPV,Proportion of ever-partnered women and girls aged 15-49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months,EN
SDGIHR2021,SDGIHR2021,"Average of 15 International Health Regulations core capacity scores, SPAR version, 2nd edition",EN
SDGIHR2018,SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",EN
SDGIHR,SDGIHR,Average of 13 International Health Regulations core capacity scores,EN
SDGHPVRECEIVED,SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),EN
SDGHIV1524,SDGHIV1524,New HIV infections among adults 15-24 years old (per 1000 uninfected population),EN
SDGHIV,SDGHIV,New HIV infections (per 1000 uninfected population),EN
SDGHEPHBSAGPRV,SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence (%),EN
SDGHEALTHFACILITIESESSENTIALMEDS,SDGHEALTHFACILITIESESSENTIALMEDS,Proportion of health facilities with a core set of relevant essential medicines available and affordable on a sustainable basis,EN
SDGFPALL,SDGFPALL,Women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (%),EN
SDGDISASTER,SDGDISASTER,Average death rate due to natural disasters (per 100 000 population),EN
SDGCONFLICT,SDGCONFLICT,Estimated direct deaths from major conflicts (per 100 000 population),EN
SDGCODCOMPLETENESS,SDGCODCOMPLETENESS,Completeness of cause-of-death data (%),EN
SDGAIRBODA,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",EN
SDGAIRBOD,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),EN
SDG_SH_STA_SCIDEN,SDG_SH_STA_SCIDEN,Number of suicide deaths,EN
SDG_SH_DTH_RNCOM,SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",EN
SCSUD_STSPROGRESS,SCSUD_STSPROGRESS,"Substance use disorders service coverage, specialized treatment services progress",EN
SCSUD_STS,SCSUD_STS,"Substance use disorders service coverage, specialized treatment services",EN
SCSUD_SBIPROGRESS,SCSUD_SBIPROGRESS,"Substance use disorders service coverage, screening and brief interventions progress",EN
SCSUD_SBI,SCSUD_SBI,"Substance use disorders service coverage, screening and brief interventions",EN
SCSUD_REHABPROGRESS,SCSUD_REHABPROGRESS,"Substance use disorders service coverage, rehabilitation programmes progress",EN
SCSUD_REHAB,SCSUD_REHAB,"Substance use disorders service coverage, rehabilitation programmes",EN
SCSUD_PSYCHPROGRESS,SCSUD_PSYCHPROGRESS,"Substance use disorders service coverage, psychosocial treatment services progress",EN
SCSUD_PSYCH,SCSUD_PSYCH,"Substance use disorders service coverage, psychosocial treatment services",EN
SCSUD_PHARMPROGRESS,SCSUD_PHARMPROGRESS,"Substance use disorders service coverage, pharmacological treatment services progress",EN
SCSUD_PHARM,SCSUD_PHARM,"Substance use disorders service coverage, pharmacological treatment services",EN
SCSUD_NSSPROGRESS,SCSUD_NSSPROGRESS,"Substance use disorders service coverage, non-structured services progress",EN
SCSUD_NSS,SCSUD_NSS,"Substance use disorders service coverage, non-structured services",EN
SCSUD_MEDREG,SCSUD_MEDREG,"Substance use disorders service coverage, medicine registered in the country",EN
SCSUD_MEDPUBLIC,SCSUD_MEDPUBLIC,"Substance use disorders service coverage, medicine provided for free in public health care",EN
SCSUD_MEDNUM,SCSUD_MEDNUM,"Substance use disorders service coverage, medicine quantitative data on the number of prescriptions/sales is available",EN
SCSUD_MEDNTG,SCSUD_MEDNTG,"Substance use disorders service coverage, medicine included into official manual/ national treatment guidelines",EN
SCSUD_MEDDF,SCSUD_MEDDF,"Substance use disorders service coverage, medicine included in drug formulary",EN
SCSUD_MEDBIS,SCSUD_MEDBIS,"Substance use disorders service coverage, medicine included in basic insurance package",EN
SCSUD_MEDACCESSPROGRESS,SCSUD_MEDACCESSPROGRESS,"Substance use disorders service coverage, access to medicine progress",EN
SCSUD_HWFSUPPORT,SCSUD_HWFSUPPORT,"Substance use disorders service coverage, system of ongoing support for health workforce",EN
SCSUD_HWFPROGRESS,SCSUD_HWFPROGRESS,"Substance use disorders service coverage, health workforce progress",EN
SCSUD_HWFDEV,SCSUD_HWFDEV,"Substance use disorders service coverage, health workforce access to professional development and education",EN
SCSUD_HWFAVAILABILITY,SCSUD_HWFAVAILABILITY,"Substance use disorders service coverage, availability and quantity of specialized human workforce",EN
SCSUD_HEALTHINFOPROGRESS,SCSUD_HEALTHINFOPROGRESS,"Substance use disorders service coverage, health information system progress",EN
SCSUD_GOVPROGRESS,SCSUD_GOVPROGRESS,"Substance use disorders service coverage, governance progress",EN
SCSUD_GOVPAL,SCSUD_GOVPAL,"Substance use disorders service coverage, availability of policy, action plan and legislation",EN
SCSUD_GOVGUIDELINES,SCSUD_GOVGUIDELINES,"Substance use disorders service coverage, national guidelines",EN
SCSUD_FINANCINGSUPPORT,SCSUD_FINANCINGSUPPORT,"Substance use disorders service coverage, information on governmental support available",EN
SCSUD_FINANCINGPROGRESS,SCSUD_FINANCINGPROGRESS,"Substance use disorders service coverage, financing progress",EN
SCSUD_FINANCINGEXP,SCSUD_FINANCINGEXP,"Substance use disorders service coverage, information on governmental expenditures",EN
SCSUD_DATASERVUTIL,SCSUD_DATASERVUTIL,"Substance use disorders service coverage, data on service utilization",EN
SCSUD_DATASERVPROV,SCSUD_DATASERVPROV,"Substance use disorders service coverage, data on service provision",EN
SCSUD_DATAPREV,SCSUD_DATAPREV,"Substance use disorders service coverage, data on prevalence of substance use/ substance use disorders",EN
sba5,sba5,Births attended by skilled health personnel (in the five years preceding the survey) (%),EN
sba,sba,Births attended by skilled health personnel (in the two or three years preceding the survey) (%),EN
SA_0000001845,SA_0000001845,"Average daily intake in grams of alcohol, population (15+)",EN
SA_0000001844,SA_0000001844,"Alcohol-attributable all-cause deaths (all ages), (number)",EN
SA_0000001843,SA_0000001843,"Alcohol-attributable DALYs lost from all causes (all ages), (number)",EN
SA_0000001842,SA_0000001842,"Alcohol, 15-19 years heavy continuous drinkers, drinkers only, past year (%)",EN
SA_0000001841,SA_0000001841,"Alcohol, 15-19 years heavy continuous drinkers past year (%)",EN
SA_0000001840,SA_0000001840,"Alcohol, heavy continuous drinkers, drinkers only, past year (%)",EN
SA_0000001839,SA_0000001839,"Alcohol, heavy continuous drinkers past year (%)",EN
SA_0000001838,SA_0000001838,Alcohol-related cardiomyopathy deaths (% of all cardiomyopathy deaths),EN
SA_0000001837,SA_0000001837,"Alcohol poisoning deaths, per 100,000 population",EN
SA_0000001836,SA_0000001836,Alcohol-related road traffic deaths (% of all road traffic deaths),EN
SA_0000001835,SA_0000001835,"Alcohol-related road traffic deaths, per 100,000 population",EN
SA_0000001834,SA_0000001834,Percent of all DALYs attributable to alcohol,EN
SA_0000001833,SA_0000001833,"Alcohol-attributable DALYs per 100,000 people (age standardized)",EN
SA_0000001832,SA_0000001832,"Alcohol-attributable all-cause deaths per 100,000, age standardized",EN
SA_0000001831,SA_0000001831,Average price 500 mls Spirits in US$,EN
SA_0000001830,SA_0000001830,Average price 750 mls Wine in US$,EN
SA_0000001829,SA_0000001829,Average price 500 mls Beer in US$,EN
SA_0000001828_AA,SA_0000001828_AA,"Regional prevalence, alcohol-attributable DALYs, (%)",EN
SA_0000001828,SA_0000001828,"Regional prevalence, AAFs ,all-cause deaths (%)",EN
SA_0000001827,SA_0000001827,"Regional prevalence, AAFs (15+), cancer",EN
SA_0000001826,SA_0000001826,"Regional prevalence, AAFs (15+), road traffic crash deaths (%)",EN
SA_0000001825,SA_0000001825,"Regional prevalence, AAFs (15+), liver cirrhosis deaths (%)",EN
SA_0000001824,SA_0000001824,"Alcohol, regional alcohol per capita (15+) consumption (in litres of pure alcohol)",EN
SA_0000001823_ARCHIVED,SA_0000001823_ARCHIVED,"Alcohol, tourist consumption (in litres of pure alcohol)",EN
SA_0000001823,SA_0000001823,"Alcohol, tourist consumption (in litres of pure alcohol), three-year average",EN
SA_0000001822_ARCHIVED,SA_0000001822_ARCHIVED,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",EN
SA_0000001822,SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",EN
SA_0000001821_ARCHIVED,SA_0000001821_ARCHIVED,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol) with 95%CI",EN
SA_0000001821,SA_0000001821,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol), three-year average",EN
SA_0000001820,SA_0000001820,"Heavy episodic drinking (youth 15 -19 years), drinkers only, past 30 days (%)",EN
SA_0000001819,SA_0000001819,Heavy episodic drinking (youth 15 -19 years) past 30 days (%),EN
SA_0000001818,SA_0000001818,"Alcohol, total  (recorded + unrecorded) per capita (15+) consumption, projections",EN
SA_0000001817,SA_0000001817,Tax incentives for production of other alcoholic beverages,EN
SA_0000001816,SA_0000001816,Tax incentives for production low/no alcohol content beer,EN
SA_0000001815,SA_0000001815,Ethanol tax deducted from excise tax,EN
SA_0000001814,SA_0000001814,Taxation of ethanol production,EN
SA_0000001813,SA_0000001813,National organization for monitoring alcohol,EN
SA_0000001812,SA_0000001812,Report with data from health services on alcohol use and AUDs,EN
SA_0000001811,SA_0000001811,Report with epidemiological data on lcohol use and AUDs,EN
SA_0000001810,SA_0000001810,National system of data collection based on health service delivery,EN
SA_0000001809,SA_0000001809,National system of epidemiological data collection for alcohol use,EN
SA_0000001808,SA_0000001808,"Alcohol-attributable fractions (15+), cancer deaths",EN
SA_0000001807_AA,SA_0000001807_AA,"Cancer, alcohol-attributable, age-standardized death rates, per 100,000 population",EN
SA_0000001807,SA_0000001807,"Cancer, age-standardized death rates (15+), per 100,000 population",EN
SA_0000001806,SA_0000001806,Legal requirement for size of health warning labels,EN
SA_0000001805,SA_0000001805,Health warning labels on drink-driving,EN
SA_0000001804,SA_0000001804,Health warning labels on under-age drinking,EN
SA_0000001803,SA_0000001803,Health warning labels on pregnancy,EN
SA_0000001802,SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,EN
SA_0000001801,SA_0000001801,Monopoly on imports of alcoholic beverages,EN
SA_0000001800,SA_0000001800,Monopoly on exports of alcoholic beverages,EN
SA_0000001799,SA_0000001799,"Licenses issued for wholesale/distribution, change since 2010",EN
SA_0000001798,SA_0000001798,"Licenses issued for retail sale, change since 2010",EN
SA_0000001797,SA_0000001797,"Licenses issued for production, change since 2010",EN
SA_0000001796,SA_0000001796,Licensing required for wholesale/distribution of alcoholic beverages,EN
SA_0000001795,SA_0000001795,Licensing required for imports of alcoholic beverages,EN
SA_0000001794,SA_0000001794,Licensing required for exports of alcoholic beverages,EN
SA_0000001793,SA_0000001793,"Penalties for drink driving, repeated offense",EN
SA_0000001792,SA_0000001792,National legislation to prevent illegal alcohol sales,EN
SA_0000001791,SA_0000001791,Graduated licensing,EN
SA_0000001790,SA_0000001790,National drinking guidelines,EN
SA_0000001789_ARCHIVED,SA_0000001789_ARCHIVED,Alcohol-related crimes (% of all crimes),EN
SA_0000001789,SA_0000001789,Alcohol-related crimes (% of all crimes),EN
SA_0000001788_ARCHIVED,SA_0000001788_ARCHIVED,"Alcohol-related road traffic crashes with fatalities, per 100,000  population",EN
SA_0000001788,SA_0000001788,"Alcohol-related road traffic crashes with fatalities, per 100,000  population",EN
SA_0000001787_ARCHIVED,SA_0000001787_ARCHIVED,"13-15-years old first drink before age 14, (%)",EN
SA_0000001787,SA_0000001787,"13-15-years old first drink before age 14, (%)",EN
SA_0000001786_ARCHIVED,SA_0000001786_ARCHIVED,"13-15-years old any alcoholic beverage consumed in past 30 days, (%)",EN
SA_0000001786,SA_0000001786,"13-15-years old any alcoholic beverage consumed in past 30 days, (%)",EN
SA_0000001784_ARCHIVED,SA_0000001784_ARCHIVED,"15-years old, any alcoholic beverage consumed at least once a week, (%)",EN
SA_0000001784,SA_0000001784,"15-years old, any alcoholic beverage consumed at least once a week, (%)",EN
SA_0000001783_ARCHIVED,SA_0000001783_ARCHIVED,"15-years old any alcoholic beverage consumed in past 30 days, (%)",EN
SA_0000001783,SA_0000001783,"15-years old any alcoholic beverage consumed in past 30 days, (%)",EN
SA_0000001782_ARCHIVED,SA_0000001782_ARCHIVED,"15-years old first drink at 13 years or younger, (%)",EN
SA_0000001782,SA_0000001782,"15-years old first drink at 13 years or younger, (%)",EN
SA_0000001781_ARCHIVED,SA_0000001781_ARCHIVED,"15-years old any alcoholic beverage consumed in past 12 months, (%)",EN
SA_0000001781,SA_0000001781,"15-years old any alcoholic beverage consumed in past 12 months, (%)",EN
SA_0000001779,SA_0000001779,Level of enforcement of BAC limits,EN
SA_0000001777_ARCHIVED,SA_0000001777_ARCHIVED,Data collected on harm from alcohol at workplace,EN
SA_0000001777,SA_0000001777,Data collected on harm from alcohol at workplace,EN
SA_0000001776_ARCHIVED,SA_0000001776_ARCHIVED,Data collection on Foetal Alcohol Syndome,EN
SA_0000001776,SA_0000001776,Data collection on Foetal Alcohol Syndome,EN
SA_0000001775_ARCHIVED,SA_0000001775_ARCHIVED,National surveys on heavy espisodic drinking,EN
SA_0000001775,SA_0000001775,National surveys on heavy espisodic drinking,EN
SA_0000001774_ARCHIVED,SA_0000001774_ARCHIVED,National surveys on youth alcohol consumption,EN
SA_0000001774,SA_0000001774,National surveys on youth alcohol consumption,EN
SA_0000001773_ARCHIVED,SA_0000001773_ARCHIVED,National surveys on adult alcohol consumption,EN
SA_0000001773,SA_0000001773,National surveys on adult alcohol consumption,EN
SA_0000001772_ARCHIVED,SA_0000001772_ARCHIVED,Clinical guidelines for brief interventions,EN
SA_0000001772,SA_0000001772,Clinical guidelines for brief interventions,EN
SA_0000001771_ARCHIVED,SA_0000001771_ARCHIVED,Comprehensive and regular reporting of alcohol situation,EN
SA_0000001771,SA_0000001771,Comprehensive and regular reporting of alcohol situation,EN
SA_0000001770_ARCHIVED,SA_0000001770_ARCHIVED,Regular reports from national monitoring systems,EN
SA_0000001770,SA_0000001770,Regular reports from national monitoring systems,EN
SA_0000001769_ARCHIVED,SA_0000001769_ARCHIVED,National systems for monitoring alcohol consumption and harms,EN
SA_0000001769,SA_0000001769,National systems for monitoring alcohol consumption and harms,EN
SA_0000001768_ARCHIVED,SA_0000001768_ARCHIVED,Standard drink defined,EN
SA_0000001768,SA_0000001768,Standard drink defined,EN
SA_0000001767_ARCHIVED,SA_0000001767_ARCHIVED,Legislation on alcohol testing at workplaces,EN
SA_0000001767,SA_0000001767,Legislation on alcohol testing at workplaces,EN
SA_0000001766_ARCHIVED,SA_0000001766_ARCHIVED,Legal obligation for schools to interact with parents regarding education and well-being,EN
SA_0000001766,SA_0000001766,Legal obligation for schools to interact with parents regarding education and well-being,EN
SA_0000001765_ARCHIVED,SA_0000001765_ARCHIVED,Legal obligation for schools to include alcohol use prevention,EN
SA_0000001765,SA_0000001765,Legal obligation for schools to include alcohol use prevention,EN
SA_0000001764_ARCHIVED,SA_0000001764_ARCHIVED,Server training,EN
SA_0000001764,SA_0000001764,Server training,EN
SA_0000001763_ARCHIVED,SA_0000001763_ARCHIVED,Workplace representatives nationally involved to prevent and address alcohol-related harm,EN
SA_0000001763,SA_0000001763,Workplace representatives nationally involved to prevent and address alcohol-related harm,EN
SA_0000001762_ARCHIVED,SA_0000001762_ARCHIVED,National guidelines for alcohol problem prevention and counselling at workplaces,EN
SA_0000001762,SA_0000001762,National guidelines for alcohol problem prevention and counselling at workplaces,EN
SA_0000001761_ARCHIVED,SA_0000001761_ARCHIVED,National guidelines for the prevention and reduction of alcohol-related harm in schools,EN
SA_0000001761,SA_0000001761,National guidelines for the prevention and reduction of alcohol-related harm in schools,EN
SA_0000001760_ARCHIVED,SA_0000001760_ARCHIVED,15-19 years old total alcohol consumption in litres of pure alcohol,EN
SA_0000001760,SA_0000001760,15-19 years old total alcohol consumption in litres of pure alcohol,EN
SA_0000001759_ARCHIVED,SA_0000001759_ARCHIVED,"15-19 years old, current drinkers (%)",EN
SA_0000001759,SA_0000001759,"15-19 years old, current drinkers (%)",EN
SA_0000001758_ARCHIVED,SA_0000001758_ARCHIVED,15-19 years old former drinkers (%),EN
SA_0000001758,SA_0000001758,15-19 years old former drinkers (%),EN
SA_0000001757_ARCHIVED,SA_0000001757_ARCHIVED,"15-19 years old abstainers, lifetime (%)",EN
SA_0000001757,SA_0000001757,"15-19 years old abstainers, lifetime (%)",EN
SA_0000001756_ARCHIVED,SA_0000001756_ARCHIVED,"15-19 years old heavy episodic drinkers (drinkers only), %",EN
SA_0000001756,SA_0000001756,"15-19 years old heavy episodic drinkers (drinkers only), %",EN
SA_0000001755_ARCHIVED,SA_0000001755_ARCHIVED,"15-19 years old heavy episodic drinkers (population), % with 95%CI",EN
SA_0000001755,SA_0000001755,"15-19 years old heavy episodic drinkers (population), % with 95%CI",EN
SA_0000001754_ARCHIVED,SA_0000001754_ARCHIVED,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",EN
SA_0000001754,SA_0000001754,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",EN
SA_0000001753_ARCHIVED,SA_0000001753_ARCHIVED,"Alcohol use disorders (15+), 12 month prevalence (%), age standardized, with 95%CI",EN
SA_0000001752_ARCHIVED,SA_0000001752_ARCHIVED,"Alcohol, total (recorded + unrecorded) per capita (15+) consumption, projected estimates for 2016",EN
SA_0000001752,SA_0000001752,"Alcohol, total (recorded + unrecorded) per capita (15+) consumption, projected estimates for 2016",EN
SA_0000001751_ARCHIVED,SA_0000001751_ARCHIVED,"Alcohol, average daily intake in grams among drinkers with 95%CI",EN
SA_0000001751,SA_0000001751,"Alcohol, average daily intake in grams among drinkers, three-year average",EN
SA_0000001749_ARCHIVED,SA_0000001749_ARCHIVED,"Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pure alcohol) with 95%CI",EN
SA_0000001749,SA_0000001749,"Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pure alcohol) with 95%CI",EN
SA_0000001748_ARCHIVED,SA_0000001748_ARCHIVED,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol) with 95%CI",EN
SA_0000001748,SA_0000001748,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol) with 95%CI",EN
SA_0000001747_ARCHIVED,SA_0000001747_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average with 95%CI",EN
SA_0000001747,SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",EN
SA_0000001746_ARCHIVED,SA_0000001746_ARCHIVED,"Alcohol, total  (recorded + unrecorded) per capita (15+) consumption with 95%CI, projections to 2025",EN
SA_0000001746,SA_0000001746,"Alcohol, total  (recorded + unrecorded) per capita (15+) consumption with 95%CI, projections to 2025",EN
SA_0000001745_ARCHIVED,SA_0000001745_ARCHIVED,"Alcohol, regional prevalence of alcohol use disorders (%)",EN
SA_0000001745,SA_0000001745,"Alcohol, regional prevalence of alcohol use disorders (%)",EN
SA_0000001744_ARCHIVED,SA_0000001744_ARCHIVED,"Alcohol, regional prevalence of alcohol dependence (%)",EN
SA_0000001744,SA_0000001744,"Alcohol, regional prevalence of alcohol dependence (%)",EN
SA_0000001743_ARCHIVED,SA_0000001743_ARCHIVED,"Alcohol-attributable fractions, all-cause deaths (%)",EN
SA_0000001743,SA_0000001743,"Alcohol-attributable fractions, all-cause deaths (%)",EN
SA_0000001742_ARCHIVED,SA_0000001742_ARCHIVED,"Alcohol-attributable fractions (15+), road traffic crash deaths (%)",EN
SA_0000001742,SA_0000001742,"Alcohol-attributable fractions (15+), road traffic crash deaths (%)",EN
SA_0000001741_ARCHIVED,SA_0000001741_ARCHIVED,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",EN
SA_0000001741,SA_0000001741,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",EN
SA_0000001740_ARCHIVED,SA_0000001740_ARCHIVED,Alcohol-attributable Years of Life Lost (YLL) score,EN
SA_0000001740,SA_0000001740,Alcohol-attributable Years of Life Lost (YLL) score,EN
SA_0000001739_ARCHIVED,SA_0000001739_ARCHIVED,"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized with 95%CI",EN
SA_0000001739,SA_0000001739,"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized",EN
SA_0000001737_ARCHIVED,SA_0000001737_ARCHIVED,"Alcohol, regional per capita (15+) consumption (in litres of pure alcohol)",EN
SA_0000001737,SA_0000001737,"Alcohol, regional per capita (15+) consumption (in litres of pure alcohol)",EN
SA_0000001736_ARCHIVED,SA_0000001736_ARCHIVED,Action Plan for implementation of alcohol policy,EN
